iter	Passed	Remaining
673	936	452
674	937	451
675	938	449
676	939	448
677	941	446
678	942	445
679	943	443
680	944	442
681	945	440
682	946	439
683	947	437
684	949	436
685	950	434
686	951	433
687	952	431
688	953	430
689	954	429
690	956	427
691	957	426
692	958	424
693	959	423
694	960	421
695	961	420
696	962	418
697	964	417
698	965	415
699	966	414
700	968	413
701	969	411
702	970	410
703	971	408
704	973	407
705	973	405
706	975	404
707	976	402
708	977	401
709	978	399
710	979	398
711	981	396
712	982	395
713	983	394
714	984	392
715	986	391
716	987	389
717	988	388
718	989	386
719	990	385
720	991	383
721	993	382
722	994	380
723	996	379
724	997	378
725	998	376
726	999	375
727	1000	373
728	1001	372
729	1003	371
730	1004	369
731	1005	368
732	1006	366
733	1007	365
734	1008	363
735	1010	362
736	1011	361
737	1012	359
738	1013	358
739	1015	356
740	1016	355
741	1017	353
742	1018	352
743	1019	350
744	1020	349
745	1021	347
746	1023	346
747	1024	345
748	1025	343
749	1027	342
750	1028	340
751	1029	339
752	1030	337
753	1031	336
754	1032	335
755	1033	333
756	1034	332
757	1035	330
758	1037	329
759	1038	328
760	1040	326
761	1042	325
762	1043	324
763	1044	322
764	1045	321
765	1046	319
766	1048	318
767	1049	316
768	1050	315
769	1051	314
770	1052	312
771	1054	311
772	1055	309
773	1056	308
774	1057	307
775	1058	305
776	1059	304
777	1060	302
778	1061	301
779	1063	299
780	1064	298
781	1065	297
782	1066	295
783	1068	294
784	1069	292
785	1070	291
786	1071	290
787	1072	288
788	1073	287
789	1074	285
790	1076	284
791	1077	282
792	1078	281
793	1079	280
794	1081	278
795	1082	277
796	1083	275
797	1084	274
798	1085	273
799	1086	271
800	1087	270
801	1088	268
802	1090	267
803	1091	266
804	1092	264
805	1094	263
806	1095	261
807	1096	260
808	1097	259
809	1098	257
810	1099	256
811	1101	254
812	1102	253
813	1103	252
814	1104	250
815	1105	249
816	1107	247
817	1108	246
818	1109	245
819	1110	243
820	1111	242
821	1112	240
822	1113	239
823	1114	238
824	1115	236
825	1117	235
826	1118	233
827	1119	232
828	1120	231
829	1122	229
830	1123	228
831	1124	227
832	1125	225
833	1127	224
834	1128	222
835	1129	221
836	1130	220
837	1131	218
838	1132	217
839	1134	216
840	1135	214
841	1136	213
842	1138	211
843	1139	210
844	1140	209
845	1141	207
846	1142	206
847	1143	205
848	1145	203
849	1146	202
850	1147	200
851	1148	199
852	1149	198
853	1151	196
854	1152	195
855	1153	194
856	1154	192
857	1155	191
858	1156	189
859	1157	188
860	1159	187
861	1160	185
862	1161	184
863	1163	183
864	1164	181
865	1165	180
866	1166	179
867	1168	177
868	1169	176
869	1170	174
870	1171	173
871	1172	172
872	1173	170
873	1174	169
874	1176	168
875	1178	166
876	1179	165
877	1180	164
878	1181	162
879	1182	161
880	1184	159
881	1185	158
882	1186	157
883	1187	155
884	1188	154
885	1190	153
886	1191	151
887	1192	150
888	1193	149
889	1195	147
890	1196	146
891	1197	144
892	1198	143
893	1199	142
894	1200	140
895	1201	139
896	1203	138
897	1204	136
898	1206	135
899	1207	134
900	1208	132
901	1209	131
902	1210	130
903	1212	128
904	1213	127
905	1214	125
906	1215	124
907	1216	123
908	1217	121
909	1219	120
910	1220	119
911	1221	117
912	1222	116
913	1223	115
914	1224	113
915	1225	112
916	1226	111
917	1227	109
918	1229	108
919	1230	106
920	1231	105
921	1232	104
922	1233	102
923	1234	101
924	1235	100
925	1237	98
926	1238	97
927	1239	96
928	1240	94
929	1241	93
930	1242	92
931	1244	90
932	1245	89
933	1246	88
934	1247	86
935	1248	85
936	1249	84
937	1250	82
938	1251	81
939	1252	79
940	1253	78
941	1255	77
942	1256	75
943	1257	74
944	1258	73
945	1259	71
946	1261	70
947	1262	69
948	1263	67
949	1264	66
950	1265	65
951	1266	63
952	1267	62
953	1268	61
954	1270	59
955	1271	58
956	1272	57
957	1273	55
958	1274	54
959	1275	53
960	1277	51
961	1278	50
962	1279	49
963	1280	47
964	1281	46
965	1282	45
966	1283	43
967	1285	42
968	1286	41
969	1287	39
970	1288	38
971	1289	37
972	1290	35
973	1292	34
974	1293	33
975	1294	31
976	1295	30
977	1296	29
978	1297	27
979	1298	26
980	1300	25
981	1301	23
982	1302	22
983	1303	21
984	1304	19
985	1305	18
986	1306	17
987	1307	15
988	1309	14
989	1310	13
990	1311	11
991	1312	10
992	1313	9
993	1314	7
994	1316	6
995	1317	5
996	1318	3
997	1319	2
998	1320	1
999	1321	0
